date,team,opp,wl,runs,runs_allowed
Wednesday Sep 13,WSN,ATL,7:05,7:05,7:05
Thursday Sep 14,WSN,ATL,7:05,7:05,7:05
Friday Sep 15,WSN,LAD,7:05,7:05,7:05
Saturday Sep 16,WSN,LAD,1:05,1:05,1:05
Sunday Sep 17,WSN,LAD,1:35,1:35,1:35
Tuesday Sep 19,WSN,ATL,7:35,7:35,7:35
Wednesday Sep 20,WSN,ATL,7:35,7:35,7:35
Thursday Sep 21,WSN,ATL,7:35,7:35,7:35
Friday Sep 22,WSN,NYM,7:10,7:10,7:10
Saturday Sep 23,WSN,NYM,7:10,7:10,7:10
Sunday Sep 24,WSN,NYM,1:10,1:10,1:10
Monday Sep 25,WSN,PHI,7:05,7:05,7:05
Tuesday Sep 26,WSN,PHI,7:05,7:05,7:05
Wednesday Sep 27,WSN,PHI,7:05,7:05,7:05
Thursday Sep 28,WSN,PIT,7:05,7:05,7:05
Friday Sep 29,WSN,PIT,7:05,7:05,7:05
Saturday Sep 30,WSN,PIT,7:05,7:05,7:05
Sunday Oct 1,WSN,PIT,3:05,3:05,3:05
